year,team,dominance %,rounds,races won,victories
1988,McLaren,0.9375,16,15,"['Brazilian Grand Prix', 'San Marino Grand Prix', 'Monaco Grand Prix', 'Mexican Grand Prix', 'Canadian Grand Prix', 'Detroit Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Hungarian Grand Prix', 'Belgian Grand Prix', 'Portuguese Grand Prix', 'Spanish Grand Prix', 'Japanese Grand Prix', 'Australian Grand Prix']"
1989,McLaren,0.625,16,10,"['San Marino Grand Prix', 'Monaco Grand Prix', 'Mexican Grand Prix', 'United States Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Belgian Grand Prix', 'Italian Grand Prix', 'Spanish Grand Prix']"
1990,McLaren,0.375,16,6,"['United States Grand Prix', 'Monaco Grand Prix', 'Canadian Grand Prix', 'German Grand Prix', 'Belgian Grand Prix', 'Italian Grand Prix']"
1991,McLaren,0.5,16,8,"['United States Grand Prix', 'Brazilian Grand Prix', 'San Marino Grand Prix', 'Monaco Grand Prix', 'Hungarian Grand Prix', 'Belgian Grand Prix', 'Japanese Grand Prix', 'Australian Grand Prix']"
1992,Williams,0.625,16,10,"['South African Grand Prix', 'Mexican Grand Prix', 'Brazilian Grand Prix', 'Spanish Grand Prix', 'San Marino Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Portuguese Grand Prix', 'Japanese Grand Prix']"
1993,Williams,0.625,16,10,"['South African Grand Prix', 'San Marino Grand Prix', 'Spanish Grand Prix', 'Canadian Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Hungarian Grand Prix', 'Belgian Grand Prix', 'Italian Grand Prix']"
1994,Benetton,0.5,16,8,"['Brazilian Grand Prix', 'Pacific Grand Prix', 'San Marino Grand Prix', 'Monaco Grand Prix', 'Canadian Grand Prix', 'French Grand Prix', 'Hungarian Grand Prix', 'European Grand Prix']"
1995,Benetton,0.6470588235294118,17,11,"['Brazilian Grand Prix', 'Spanish Grand Prix', 'Monaco Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Belgian Grand Prix', 'Italian Grand Prix', 'European Grand Prix', 'Pacific Grand Prix', 'Japanese Grand Prix']"
1996,Williams,0.75,16,12,"['Australian Grand Prix', 'Brazilian Grand Prix', 'Argentine Grand Prix', 'European Grand Prix', 'San Marino Grand Prix', 'Canadian Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Hungarian Grand Prix', 'Portuguese Grand Prix', 'Japanese Grand Prix']"
1997,Williams,0.47058823529411764,17,8,"['Brazilian Grand Prix', 'Argentine Grand Prix', 'San Marino Grand Prix', 'Spanish Grand Prix', 'British Grand Prix', 'Hungarian Grand Prix', 'Austrian Grand Prix', 'Luxembourg Grand Prix']"
1998,McLaren,0.5625,16,9,"['Australian Grand Prix', 'Brazilian Grand Prix', 'San Marino Grand Prix', 'Spanish Grand Prix', 'Monaco Grand Prix', 'Austrian Grand Prix', 'German Grand Prix', 'Luxembourg Grand Prix', 'Japanese Grand Prix']"
1999,McLaren,0.4375,16,7,"['Brazilian Grand Prix', 'Spanish Grand Prix', 'Canadian Grand Prix', 'British Grand Prix', 'Hungarian Grand Prix', 'Belgian Grand Prix', 'Japanese Grand Prix']"
2000,Ferrari,0.5882352941176471,17,10,"['Australian Grand Prix', 'Brazilian Grand Prix', 'San Marino Grand Prix', 'European Grand Prix', 'Canadian Grand Prix', 'German Grand Prix', 'Italian Grand Prix', 'United States Grand Prix', 'Japanese Grand Prix', 'Malaysian Grand Prix']"
2001,Ferrari,0.5294117647058824,17,9,"['Australian Grand Prix', 'Malaysian Grand Prix', 'Spanish Grand Prix', 'Monaco Grand Prix', 'European Grand Prix', 'French Grand Prix', 'Hungarian Grand Prix', 'Belgian Grand Prix', 'Japanese Grand Prix']"
2002,Ferrari,0.8823529411764706,17,15,"['Australian Grand Prix', 'Brazilian Grand Prix', 'San Marino Grand Prix', 'Spanish Grand Prix', 'Austrian Grand Prix', 'Canadian Grand Prix', 'European Grand Prix', 'British Grand Prix', 'French Grand Prix', 'German Grand Prix', 'Hungarian Grand Prix', 'Belgian Grand Prix', 'Italian Grand Prix', 'United States Grand Prix', 'Japanese Grand Prix']"
2003,Ferrari,0.5,16,8,"['San Marino Grand Prix', 'Spanish Grand Prix', 'Austrian Grand Prix', 'Canadian Grand Prix', 'British Grand Prix', 'Italian Grand Prix', 'United States Grand Prix', 'Japanese Grand Prix']"
2004,Ferrari,0.8333333333333334,18,15,"['Australian Grand Prix', 'Malaysian Grand Prix', 'Bahrain Grand Prix', 'San Marino Grand Prix', 'Spanish Grand Prix', 'European Grand Prix', 'Canadian Grand Prix', 'United States Grand Prix', 'French Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Hungarian Grand Prix', 'Italian Grand Prix', 'Chinese Grand Prix', 'Japanese Grand Prix']"
2005,Renault,0.42105263157894735,19,8,"['Australian Grand Prix', 'Malaysian Grand Prix', 'Bahrain Grand Prix', 'San Marino Grand Prix', 'European Grand Prix', 'French Grand Prix', 'German Grand Prix', 'Chinese Grand Prix']"
2006,Renault,0.4444444444444444,18,8,"['Bahrain Grand Prix', 'Malaysian Grand Prix', 'Australian Grand Prix', 'Spanish Grand Prix', 'Monaco Grand Prix', 'British Grand Prix', 'Canadian Grand Prix', 'Japanese Grand Prix']"
2007,Ferrari,0.5294117647058824,17,9,"['Australian Grand Prix', 'Bahrain Grand Prix', 'Spanish Grand Prix', 'French Grand Prix', 'British Grand Prix', 'Turkish Grand Prix', 'Belgian Grand Prix', 'Chinese Grand Prix', 'Brazilian Grand Prix']"
2008,McLaren,0.3333333333333333,18,6,"['Australian Grand Prix', 'Monaco Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Hungarian Grand Prix', 'Chinese Grand Prix']"
2009,Brawn,0.47058823529411764,17,8,"['Australian Grand Prix', 'Malaysian Grand Prix', 'Bahrain Grand Prix', 'Spanish Grand Prix', 'Monaco Grand Prix', 'Turkish Grand Prix', 'European Grand Prix', 'Italian Grand Prix']"
2010,Red Bull,0.47368421052631576,19,9,"['Malaysian Grand Prix', 'Spanish Grand Prix', 'Monaco Grand Prix', 'European Grand Prix', 'British Grand Prix', 'Hungarian Grand Prix', 'Japanese Grand Prix', 'Brazilian Grand Prix', 'Abu Dhabi Grand Prix']"
2011,Red Bull,0.631578947368421,19,12,"['Australian Grand Prix', 'Malaysian Grand Prix', 'Turkish Grand Prix', 'Spanish Grand Prix', 'Monaco Grand Prix', 'European Grand Prix', 'Belgian Grand Prix', 'Italian Grand Prix', 'Singapore Grand Prix', 'Korean Grand Prix', 'Indian Grand Prix', 'Brazilian Grand Prix']"
2012,Red Bull,0.35,20,7,"['Bahrain Grand Prix', 'Monaco Grand Prix', 'British Grand Prix', 'Singapore Grand Prix', 'Japanese Grand Prix', 'Korean Grand Prix', 'Indian Grand Prix']"
2013,Red Bull,0.6842105263157895,19,13,"['Malaysian Grand Prix', 'Bahrain Grand Prix', 'Canadian Grand Prix', 'German Grand Prix', 'Belgian Grand Prix', 'Italian Grand Prix', 'Singapore Grand Prix', 'Korean Grand Prix', 'Japanese Grand Prix', 'Indian Grand Prix', 'Abu Dhabi Grand Prix', 'United States Grand Prix', 'Brazilian Grand Prix']"
2014,Mercedes,0.8421052631578947,19,16,"['Australian Grand Prix', 'Malaysian Grand Prix', 'Bahrain Grand Prix', 'Chinese Grand Prix', 'Spanish Grand Prix', 'Monaco Grand Prix', 'Austrian Grand Prix', 'British Grand Prix', 'German Grand Prix', 'Italian Grand Prix', 'Singapore Grand Prix', 'Japanese Grand Prix', 'Russian Grand Prix', 'United States Grand Prix', 'Brazilian Grand Prix', 'Abu Dhabi Grand Prix']"
2015,Mercedes,0.8421052631578947,19,16,"['Australian Grand Prix', 'Chinese Grand Prix', 'Bahrain Grand Prix', 'Spanish Grand Prix', 'Monaco Grand Prix', 'Canadian Grand Prix', 'Austrian Grand Prix', 'British Grand Prix', 'Belgian Grand Prix', 'Italian Grand Prix', 'Japanese Grand Prix', 'Russian Grand Prix', 'United States Grand Prix', 'Mexican Grand Prix', 'Brazilian Grand Prix', 'Abu Dhabi Grand Prix']"
2016,Mercedes,0.9047619047619048,21,19,"['Australian Grand Prix', 'Bahrain Grand Prix', 'Chinese Grand Prix', 'Russian Grand Prix', 'Monaco Grand Prix', 'Canadian Grand Prix', 'European Grand Prix', 'Austrian Grand Prix', 'British Grand Prix', 'Hungarian Grand Prix', 'German Grand Prix', 'Belgian Grand Prix', 'Italian Grand Prix', 'Singapore Grand Prix', 'Japanese Grand Prix', 'United States Grand Prix', 'Mexican Grand Prix', 'Brazilian Grand Prix', 'Abu Dhabi Grand Prix']"
2017,Mercedes,0.6,20,12,"['Chinese Grand Prix', 'Russian Grand Prix', 'Spanish Grand Prix', 'Canadian Grand Prix', 'Austrian Grand Prix', 'British Grand Prix', 'Belgian Grand Prix', 'Italian Grand Prix', 'Singapore Grand Prix', 'Japanese Grand Prix', 'United States Grand Prix', 'Abu Dhabi Grand Prix']"
2018,Mercedes,0.5238095238095238,21,11,"['Azerbaijan Grand Prix', 'Spanish Grand Prix', 'French Grand Prix', 'German Grand Prix', 'Hungarian Grand Prix', 'Italian Grand Prix', 'Singapore Grand Prix', 'Russian Grand Prix', 'Japanese Grand Prix', 'Brazilian Grand Prix', 'Abu Dhabi Grand Prix']"
