constructorStandingsId,constructorId,points,position,positionText,wins
34,10,0.0,10,10,0
34,11,14.0,9,9,0
34,9,29.0,7,7,0
34,7,52.0,5,5,0
34,6,156.0,1,1,7
34,5,34.0,6,6,1
34,4,72.0,4,4,2
34,3,26.0,8,8,0
34,2,135.0,3,3,1
34,1,145.0,2,2,6
35,1,151.0,2,2,6
35,2,135.0,3,3,1
35,3,26.0,8,8,0
35,4,80.0,4,4,2
35,5,39.0,6,6,1
35,6,172.0,1,1,8
35,7,56.0,5,5,0
35,9,29.0,7,7,0
35,11,14.0,9,9,0
35,10,0.0,10,10,0
35,8,0.0,11,11,0
36,5,0.0,9,9,0
36,9,0.0,8,8,0
36,8,0.0,7,7,0
36,11,0.0,6,6,0
36,7,1.0,5,5,0
36,3,2.0,4,4,0
36,4,4.0,3,3,0
36,2,5.0,2,2,0
37,5,0.0,9,9,0
37,9,0.0,6,6,0
37,8,0.0,8,8,0
37,11,0.0,7,7,0
37,7,3.0,4,4,0
37,3,2.0,5,5,0
37,4,8.0,3,3,0
37,2,10.0,2,2,0
38,5,0.0,9,9,0
38,9,0.0,6,6,0
38,8,0.0,8,8,0
38,11,0.0,7,7,0
38,7,5.0,4,4,0
38,3,2.0,5,5,0
38,4,9.0,3,3,0
38,2,18.0,2,2,0
38,1,44.0,11,E,1
38,6,39.0,1,1,2
39,5,0.0,10,10,0
39,9,4.0,6,6,0
39,8,1.0,7,7,0
39,11,0.0,8,8,0
39,7,5.0,5,5,0
39,3,5.0,4,4,0
39,4,11.0,3,3,0
39,2,23.0,2,2,0
39,1,58.0,11,E,1
40,5,0.0,8,8,0
40,9,4.0,6,6,0
40,8,1.0,7,7,0
40,11,0.0,9,9,0
40,7,5.0,5,5,0
40,3,7.0,4,4,0
40,4,16.0,3,3,0
40,2,30.0,2,2,0
40,1,76.0,11,E,2
41,5,0.0,8,8,0
41,9,4.0,6,6,0
41,8,4.0,7,7,0
41,11,0.0,9,9,0
41,7,6.0,5,5,0
41,3,13.0,4,4,0
41,4,21.0,3,3,0
41,2,38.0,2,2,0
41,1,88.0,11,E,3
42,5,0.0,8,8,0
42,9,6.0,6,6,0
42,8,4.0,7,7,0
42,11,0.0,9,9,0
42,7,9.0,5,5,0
42,3,13.0,4,4,0
42,4,25.0,3,3,0
42,2,39.0,2,2,0
42,1,106.0,11,E,4
43,5,0.0,9,9,0
43,9,6.0,6,6,0
43,8,4.0,7,7,0
43,11,1.0,8,8,0
43,7,9.0,5,5,0
43,3,13.0,4,4,0
43,4,28.0,3,3,0
43,2,48.0,2,2,0
43,1,114.0,11,E,4
44,5,0.0,9,9,0
44,9,6.0,6,6,0
44,8,4.0,7,7,0
44,11,1.0,8,8,0
44,7,9.0,5,5,0
44,3,13.0,4,4,0
44,4,31.0,3,3,0
44,2,56.0,2,2,0
44,1,128.0,11,E,5
45,5,0.0,9,9,0
45,9,16.0,5,5,0
45,8,4.0,7,7,0
45,11,1.0,8,8,0
45,7,9.0,6,6,0
45,3,18.0,4,4,0
45,4,32.0,3,3,0
45,2,61.0,2,2,0
45,1,138.0,11,E,5
46,5,0.0,9,9,0
46,9,16.0,5,5,0
46,8,4.0,7,7,0
46,11,1.0,8,8,0
46,7,12.0,6,6,0
46,3,20.0,4,4,0
46,4,33.0,3,3,0
46,2,71.0,2,2,0
46,1,138.0,11,E,6
47,5,0.0,9,9,0
47,9,16.0,5,5,0
47,8,4.0,7,7,0
47,11,1.0,8,8,0
47,7,12.0,6,6,0
47,3,22.0,4,4,0
47,4,36.0,3,3,0
47,2,77.0,2,2,0
47,1,148.0,11,E,6
48,5,0.0,9,9,0
48,9,16.0,5,5,0
48,8,4.0,7,7,0
48,11,2.0,8,8,0
48,7,12.0,6,6,0
48,3,25.0,4,4,0
48,4,38.0,3,3,0
48,2,86.0,2,2,0
48,1,166.0,11,E,7
49,5,0.0,9,9,0
49,9,18.0,5,5,0
49,8,4.0,7,7,0
49,11,2.0,8,8,0
49,7,12.0,6,6,0
49,3,28.0,4,4,0
49,4,39.0,3,3,0
49,2,90.0,2,2,0
49,1,192.0,11,E,7
50,5,0.0,10,10,0
50,9,23.0,5,5,0
50,8,4.0,7,7,0
50,11,2.0,8,8,0
50,7,12.0,6,6,0
50,3,28.0,4,4,0
50,4,51.0,3,3,0
50,2,92.0,2,2,0
50,1,202.0,11,E,8
51,5,8.0,7,7,0
51,9,24.0,5,5,0
51,8,4.0,9,9,0
51,11,6.0,8,8,0
51,7,12.0,6,6,0
51,3,28.0,4,4,0
51,4,51.0,3,3,0
51,2,94.0,2,2,0
51,1,210.0,11,E,8
52,5,8.0,7,7,0
52,9,24.0,5,5,0
52,8,4.0,9,9,0
52,11,6.0,8,8,0
52,7,13.0,6,6,0
52,3,33.0,4,4,0
52,4,51.0,3,3,0
52,2,101.0,2,2,0
52,1,118.0,11,E,8
53,8,0.0,11,11,0
53,13,0.0,10,10,0
53,7,0.0,9,9,0
53,2,0.0,8,8,0
53,5,0.0,7,7,0
53,9,1.0,6,6,0
53,3,5.0,5,5,0
53,11,5.0,4,4,0
53,1,10.0,2,2,0
53,6,8.0,3,3,0
53,4,10.0,1,1,1
54,8,0.0,11,11,0
54,13,0.0,10,10,0
54,7,1.0,7,7,0
54,2,2.0,6,6,0
54,5,0.0,9,9,0
54,9,1.0,8,8,0
54,3,5.0,5,5,0
54,11,11.0,4,4,0
54,1,15.0,3,3,0
54,6,15.0,2,2,0
54,4,28.0,1,1,2
55,8,0.0,11,11,0
55,13,0.0,10,10,0
55,7,7.0,6,6,0
55,2,10.0,5,5,0
55,5,0.0,9,9,0
55,9,2.0,8,8,0
55,3,5.0,7,7,0
55,11,13.0,4,4,0
55,1,23.0,2,2,0
55,6,15.0,3,3,0
55,4,42.0,1,1,3
56,8,0.0,11,11,0
56,13,0.0,10,10,0
56,7,7.0,7,7,0
56,2,10.0,5,5,0
56,5,0.0,9,9,0
56,9,2.0,8,8,0
56,3,8.0,6,6,0
56,11,15.0,4,4,0
56,1,33.0,2,2,0
56,6,30.0,3,3,1
56,4,51.0,1,1,3
57,8,0.0,11,11,0
57,13,0.0,10,10,0
57,7,7.0,7,7,0
57,2,11.0,5,5,0
57,5,0.0,9,9,0
57,9,2.0,8,8,0
57,3,10.0,6,6,0
57,11,19.0,4,4,0
57,1,38.0,3,3,0
57,6,46.0,2,2,2
57,4,62.0,1,1,3
58,8,0.0,11,11,0
58,13,0.0,10,10,0
58,7,7.0,7,7,0
58,2,12.0,5,5,0
58,5,0.0,9,9,0
58,9,2.0,8,8,0
58,3,10.0,6,6,0
58,11,24.0,4,4,0
58,1,42.0,3,3,0
58,6,59.0,2,2,2
58,4,78.0,1,1,4
59,8,0.0,11,11,0
59,13,0.0,10,10,0
59,7,8.0,7,7,0
59,2,14.0,5,5,0
59,5,0.0,9,9,0
59,9,8.0,8,8,0
59,3,10.0,6,6,0
59,11,29.0,4,4,0
59,1,50.0,3,3,0
59,6,63.0,2,2,2
59,4,91.0,1,1,5
60,8,0.0,11,11,0
60,13,0.0,10,10,0
60,7,8.0,7,7,0
60,2,17.0,5,5,0
60,5,0.0,9,9,0
60,9,8.0,8,8,0
60,3,10.0,6,6,0
60,11,29.0,4,4,0
60,1,59.0,3,3,0
60,6,75.0,2,2,2
60,4,106.0,1,1,6
61,8,0.0,11,11,0
61,13,0.0,10,10,0
61,7,11.0,6,6,0
61,2,19.0,5,5,0
61,5,0.0,9,9,0
61,9,9.0,8,8,0
61,3,10.0,7,7,0
61,11,29.0,4,4,0
61,1,65.0,3,3,0
61,6,87.0,2,2,2
61,4,121.0,1,1,7
62,8,0.0,11,11,0
62,13,0.0,10,10,0
62,7,16.0,6,6,0
62,2,19.0,5,5,0
62,5,1.0,9,9,0
62,9,11.0,7,7,0
62,3,10.0,8,8,0
62,11,32.0,4,4,0
62,1,65.0,3,3,0
62,6,105.0,2,2,3
62,4,131.0,1,1,7
63,8,0.0,11,11,0
63,13,0.0,10,10,0
63,7,21.0,5,5,0
63,2,20.0,6,6,0
63,5,1.0,9,9,0
63,9,11.0,7,7,0
63,3,10.0,8,8,0
63,11,32.0,4,4,0
63,1,71.0,3,3,0
63,6,121.0,2,2,4
63,4,142.0,1,1,7
64,8,0.0,11,11,0
64,13,0.0,10,10,0
64,7,23.0,5,5,0
64,2,20.0,6,6,0
64,5,1.0,9,9,0
64,9,12.0,7,7,0
64,3,10.0,8,8,0
64,11,37.0,4,4,0
64,1,77.0,3,3,0
64,6,139.0,2,2,5
64,4,149.0,1,1,7
65,8,0.0,11,11,0
65,13,0.0,10,10,0
65,7,26.0,5,5,0
65,2,26.0,6,6,0
65,5,1.0,9,9,0
65,9,16.0,7,7,0
65,3,10.0,8,8,0
65,11,52.0,4,4,1
65,1,85.0,3,3,0
65,6,142.0,2,2,5
65,4,149.0,1,1,7
66,8,0.0,11,11,0
66,13,0.0,10,10,0
66,7,28.0,5,5,0
66,2,26.0,6,6,0
66,5,1.0,9,9,0
66,9,16.0,7,7,0
66,3,10.0,8,8,0
66,11,58.0,4,4,1
66,1,89.0,3,3,0
66,6,158.0,2,2,6
66,4,160.0,1,1,7
67,14,0.0,12,12,0
67,8,0.0,11,11,0
67,13,0.0,10,10,0
67,7,30.0,6,6,0
67,2,33.0,5,5,0
67,5,1.0,9,9,0
67,9,16.0,7,7,0
67,3,10.0,8,8,0
67,11,65.0,4,4,1
67,1,97.0,3,3,0
67,6,168.0,1,1,7
67,4,165.0,2,2,7
68,14,0.0,12,12,0
68,8,0.0,11,11,0
68,13,0.0,10,10,0
68,7,30.0,6,6,0
68,2,35.0,5,5,0
68,5,1.0,9,9,0
68,9,16.0,7,7,0
68,3,11.0,8,8,0
68,11,73.0,4,4,1
68,1,101.0,3,3,0
68,6,178.0,2,2,8
68,4,179.0,1,1,7
69,14,0.0,12,12,0
69,8,0.0,11,11,0
69,13,0.0,10,10,0
69,7,35.0,6,6,0
69,2,36.0,5,5,0
69,5,1.0,9,9,0
69,9,16.0,7,7,0
69,3,11.0,8,8,0
69,11,78.0,4,4,1
69,1,105.0,3,3,0
69,6,186.0,2,2,8
69,4,195.0,1,1,8
70,14,0.0,12,12,0
70,8,0.0,11,11,0
70,13,0.0,10,10,0
70,7,35.0,6,6,0
70,2,36.0,5,5,0
70,5,1.0,9,9,0
70,9,16.0,7,7,0
70,3,11.0,8,8,0
70,11,86.0,4,4,1
70,1,110.0,3,3,0
70,6,201.0,2,2,9
70,4,206.0,1,1,8
71,4,16.0,1,1,1
71,6,8.0,2,2,0
71,9,7.0,3,3,0
71,3,4.0,4,4,0
71,1,4.0,5,5,0
71,7,0.0,6,6,0
71,15,0.0,7,7,0
71,17,0.0,8,8,0
71,18,0.0,9,9,0
72,4,26.0,1,1,2
72,6,10.0,4,4,0
72,9,11.0,3,3,0
72,3,10.0,5,5,0
72,1,9.0,6,6,0
72,7,12.0,2,2,0
72,15,0.0,7,7,0
72,17,0.0,8,8,0
72,18,0.0,9,9,0
73,18,0.0,9,9,0
73,17,0.0,8,8,0
73,15,2.0,7,7,0
73,7,25.0,2,2,0
73,1,19.0,3,3,0
73,3,13.0,4,4,0
73,9,12.0,5,5,0
73,6,10.0,6,6,0
73,4,36.0,1,1,3
74,18,0.0,9,9,0
74,17,0.0,8,8,0
74,15,7.0,7,7,0
74,7,29.0,2,2,0
74,1,25.0,3,3,0
74,3,18.0,5,5,0
74,9,13.0,6,6,0
74,6,18.0,4,4,0
75,17,0.0,8,8,0
75,16,0.0,10,10,0
75,15,7.0,7,7,0
75,7,40.0,2,2,0
75,1,37.0,3,3,1
75,3,21.0,4,4,0
75,9,14.0,6,6,0
75,6,18.0,5,5,0
75,4,58.0,1,1,4
76,4,63.0,1,1,4
76,6,21.0,5,5,0
76,9,14.0,6,6,0
76,3,35.0,4,4,0
76,1,51.0,2,2,2
76,7,43.0,3,3,0
76,15,7.0,7,7,0
76,17,0.0,8,8,0
76,18,0.0,9,9,0
77,4,76.0,1,1,5
77,6,31.0,5,5,0
77,9,19.0,6,6,0
77,3,43.0,4,4,0
77,1,53.0,2,2,2
77,7,44.0,3,3,0
77,15,7.0,7,7,0
77,17,0.0,8,8,0
77,18,0.0,10,10,0
77,16,0.0,9,9,0
78,16,0.0,9,9,0
78,18,0.0,10,10,0
78,17,0.0,8,8,0
78,15,12.0,7,7,0
78,7,47.0,4,4,0
78,1,63.0,2,2,3
78,3,47.0,3,3,0
78,9,22.0,6,6,0
78,6,45.0,5,5,0
78,4,76.0,1,1,5
79,16,0.0,10,10,0
79,18,7.0,9,9,0
79,17,11.0,8,8,0
79,15,12.0,7,7,0
79,7,47.0,5,5,0
79,1,63.0,2,2,3
79,3,47.0,4,4,0
79,9,22.0,6,6,0
79,6,63.0,3,3,1
79,4,76.0,1,1,5
80,4,89.0,1,1,6
80,6,69.0,3,3,1
80,9,22.0,6,6,0
80,3,47.0,5,5,0
80,1,71.0,2,2,3
80,7,53.0,4,4,0
80,15,13.0,7,7,0
80,17,11.0,8,8,0
80,18,7.0,9,9,0
80,16,5.0,10,10,0
81,4,102.0,1,1,6
81,6,74.0,3,3,1
81,9,22.0,6,6,0
81,3,47.0,5,5,0
81,1,87.0,2,2,4
81,7,54.0,4,4,0
81,15,13.0,7,7,0
81,17,11.0,8,8,0
81,18,7.0,10,10,0
81,16,9.0,9,9,0
82,4,117.0,1,1,7
82,6,78.0,3,3,1
82,9,24.0,6,6,0
82,3,47.0,5,5,0
82,1,95.0,2,2,4
82,7,57.0,4,4,0
82,15,14.0,8,8,0
82,17,11.0,9,9,0
82,18,7.0,10,10,0
82,16,15.0,7,7,0
83,4,117.0,1,1,7
83,6,86.0,3,3,1
83,9,24.0,6,6,0
83,3,52.0,5,5,0
83,1,105.0,2,2,5
83,7,68.0,4,4,0
83,15,14.0,8,8,0
83,17,11.0,9,9,0
83,18,7.0,10,10,0
83,16,20.0,7,7,0
84,4,130.0,1,1,7
84,6,86.0,3,3,1
84,9,27.0,6,6,0
84,3,52.0,5,5,0
84,1,121.0,2,2,6
84,7,71.0,4,4,0
84,15,14.0,8,8,0
84,17,11.0,9,9,0
84,18,7.0,10,10,0
84,16,24.0,7,7,0
85,4,144.0,1,1,7
85,6,86.0,3,3,1
85,9,27.0,6,6,0
85,3,54.0,5,5,0
85,1,136.0,2,2,7
85,7,78.0,4,4,0
85,15,14.0,8,8,0
85,17,11.0,9,9,0
85,18,7.0,10,10,0
85,16,25.0,7,7,0
86,4,152.0,1,1,7
86,6,90.0,3,3,1
86,9,27.0,7,7,0
86,3,59.0,5,5,0
86,1,146.0,2,2,8
86,7,80.0,4,4,0
86,15,17.0,8,8,0
86,17,12.0,9,9,0
86,18,7.0,10,10,0
86,16,31.0,6,6,0
87,4,162.0,2,2,7
87,6,98.0,3,3,1
87,9,27.0,7,7,0
87,3,59.0,5,5,0
87,1,164.0,1,1,9
87,7,81.0,4,4,0
87,15,17.0,8,8,0
87,17,12.0,9,9,0
87,18,7.0,10,10,0
87,16,33.0,6,6,0
88,4,176.0,1,1,7
88,6,100.0,3,3,1
88,9,30.0,7,7,0
88,3,64.0,5,5,0
88,1,174.0,2,2,10
88,7,82.0,4,4,0
88,15,17.0,8,8,0
88,17,12.0,9,9,0
88,18,7.0,10,10,0
88,16,37.0,6,6,0
89,4,191.0,1,1,8
89,6,100.0,3,3,1
89,9,34.0,7,7,0
89,3,66.0,5,5,0
89,1,182.0,2,2,10
89,7,88.0,4,4,0
89,15,20.0,8,8,0
89,17,12.0,9,9,0
89,18,7.0,10,10,0
89,16,38.0,6,6,0
90,17,0.0,9,9,0
90,7,0.0,8,8,0
90,19,0.0,7,7,0
90,15,0.0,6,6,0
90,1,1.0,5,5,0
90,16,3.0,4,4,0
90,3,9.0,2,2,0
90,4,8.0,3,3,0
90,6,18.0,1,1,1
91,18,0.0,10,10,0
91,17,0.0,9,9,0
91,7,0.0,7,7,0
91,19,0.0,8,8,0
91,15,1.0,6,6,0
91,1,4.0,5,5,0
91,16,9.0,4,4,0
91,3,17.0,2,2,0
91,4,14.0,3,3,0
91,6,33.0,1,1,2
92,18,0.0,10,10,0
92,17,0.0,9,9,0
92,7,0.0,8,8,0
92,19,1.0,7,7,0
92,15,1.0,6,6,0
92,1,4.0,5,5,0
92,16,19.0,4,4,0
92,3,19.0,3,3,0
92,4,22.0,2,2,0
92,6,51.0,1,1,3
93,18,0.0,10,10,0
93,17,0.0,9,9,0
93,7,0.0,8,8,0
93,19,1.0,7,7,0
93,15,1.0,6,6,0
93,1,5.0,5,5,0
93,16,27.0,3,3,0
93,3,27.0,4,4,0
93,4,31.0,2,2,0
93,6,64.0,1,1,4
94,18,0.0,10,10,0
94,17,0.0,9,9,0
94,7,0.0,8,8,0
94,19,1.0,7,7,0
94,15,3.0,6,6,0
94,1,5.0,5,5,0
94,16,32.0,3,3,0
94,3,30.0,4,4,0
94,4,42.0,2,2,0
94,6,82.0,1,1,5
95,18,0.0,10,10,0
95,17,2.0,8,8,0
95,7,4.0,7,7,0
95,19,1.0,9,9,0
95,15,7.0,5,5,0
95,1,5.0,6,6,0
95,16,40.0,3,3,0
95,3,35.0,4,4,0
95,4,52.0,2,2,1
95,6,88.0,1,1,5
96,18,0.0,10,10,0
96,17,2.0,9,9,0
96,7,4.0,7,7,0
96,19,3.0,8,8,0
96,15,10.0,5,5,0
96,1,5.0,6,6,0
96,16,46.0,3,3,0
96,3,36.0,4,4,0
96,4,61.0,2,2,1
96,6,106.0,1,1,6
97,18,0.0,10,10,0
97,17,5.0,7,7,0
97,7,4.0,8,8,0
97,19,3.0,9,9,0
97,15,15.0,5,5,0
97,1,12.0,6,6,0
97,16,52.0,3,3,0
97,3,36.0,4,4,0
97,4,61.0,2,2,1
97,6,124.0,1,1,7
98,18,1.0,10,10,0
98,17,5.0,8,8,0
98,7,8.0,7,7,0
98,19,3.0,9,9,0
98,15,15.0,6,6,0
98,1,17.0,5,5,0
98,16,58.0,3,3,0
98,3,36.0,4,4,0
98,4,66.0,2,2,1
98,6,142.0,1,1,8
99,18,1.0,10,10,0
99,17,5.0,8,8,0
99,7,8.0,7,7,0
99,19,3.0,9,9,0
99,15,15.0,6,6,0
99,1,22.0,5,5,0
99,16,62.0,3,3,0
99,3,37.0,4,4,0
99,4,79.0,2,2,1
99,6,158.0,1,1,9
100,18,1.0,10,10,0
100,17,5.0,8,8,0
100,7,8.0,7,7,0
100,19,4.0,9,9,0
100,15,18.0,6,6,0
100,1,32.0,5,5,0
100,16,67.0,3,3,0
100,3,41.0,4,4,0
100,4,79.0,2,2,1
100,6,174.0,1,1,10
101,18,1.0,10,10,0
101,17,5.0,9,9,0
101,7,8.0,7,7,0
101,19,7.0,8,8,0
101,15,18.0,6,6,0
101,1,37.0,5,5,0
101,16,76.0,3,3,0
101,3,47.0,4,4,0
101,4,85.0,2,2,1
101,6,184.0,1,1,11
102,18,1.0,10,10,0
102,17,5.0,9,9,0
102,7,8.0,7,7,0
102,19,7.0,8,8,0
102,15,19.0,6,6,0
102,1,37.0,5,5,0
102,16,83.0,3,3,0
102,3,54.0,4,4,0
102,4,91.0,2,2,1
102,6,202.0,1,1,12
103,18,1.0,10,10,0
103,17,5.0,9,9,0
103,7,9.0,8,8,0
103,19,10.0,7,7,0
103,15,28.0,6,6,0
103,1,49.0,5,5,1
103,16,83.0,3,3,0
103,3,54.0,4,4,0
103,4,91.0,2,2,1
103,6,216.0,1,1,12
104,18,1.0,10,10,0
104,17,5.0,9,9,0
104,7,9.0,8,8,0
104,19,10.0,7,7,0
104,15,29.0,6,6,0
104,1,52.0,5,5,1
104,16,94.0,2,2,0
104,3,60.0,4,4,0
104,4,91.0,3,3,1
104,6,234.0,1,1,13
105,18,1.0,10,10,0
105,17,5.0,9,9,0
105,7,9.0,8,8,0
105,19,10.0,7,7,0
105,15,32.0,6,6,0
105,1,58.0,5,5,1
105,16,105.0,2,2,0
105,3,64.0,4,4,0
105,4,96.0,3,3,1
105,6,244.0,1,1,14
106,18,1.0,10,10,0
106,17,5.0,9,9,0
106,7,9.0,8,8,0
106,19,10.0,7,7,0
106,15,33.0,6,6,0
106,1,61.0,5,5,1
106,16,116.0,2,2,0
106,3,74.0,4,4,0
106,4,100.0,3,3,1
106,6,254.0,1,1,15
107,18,1.0,10,10,0
107,17,5.0,9,9,0
107,7,9.0,8,8,0
107,19,10.0,7,7,0
107,15,34.0,6,6,0
107,1,69.0,5,5,1
107,16,119.0,2,2,0
107,3,88.0,4,4,1
107,4,105.0,3,3,1
107,6,262.0,1,1,15
108,18,0.0,7,7,0
108,16,0.0,6,6,0
108,15,3.0,5,5,0
108,4,6.0,3,3,0
108,6,5.0,4,4,0
108,3,9.0,2,2,0
108,1,16.0,1,1,1
109,7,0.0,9,9,0
109,17,0.0,7,7,0
109,18,0.0,8,8,0
109,16,2.0,6,6,0
109,15,4.0,5,5,0
109,4,16.0,3,3,0
109,6,16.0,2,2,0
109,3,14.0,4,4,0
109,1,26.0,1,1,2
110,19,0.0,8,8,0
110,7,0.0,9,9,0
110,17,10.0,5,5,1
110,18,0.0,10,10,0
110,16,5.0,7,7,0
110,15,8.0,6,6,0
110,4,23.0,2,2,0
110,6,16.0,3,3,0
110,3,16.0,4,4,0
110,1,39.0,1,1,2
111,19,0.0,9,9,0
111,7,0.0,8,8,0
111,17,10.0,5,5,1
111,18,0.0,10,10,0
111,16,6.0,7,7,0
111,15,8.0,6,6,0
111,4,26.0,3,3,0
111,6,32.0,2,2,1
111,3,23.0,4,4,0
111,1,51.0,1,1,2
112,19,2.0,9,9,0
112,7,3.0,8,8,0
112,17,11.0,5,5,1
112,18,0.0,10,10,0
112,16,6.0,7,7,0
112,15,8.0,6,6,0
112,4,34.0,3,3,0
112,6,48.0,2,2,2
112,3,32.0,4,4,0
112,1,51.0,1,1,2
113,19,4.0,8,8,0
113,7,3.0,9,9,0
113,17,11.0,5,5,1
113,18,0.0,10,10,0
113,16,11.0,6,6,0
113,15,8.0,7,7,0
113,4,35.0,3,3,0
113,6,64.0,1,1,3
113,3,35.0,4,4,0
113,1,63.0,2,2,2
114,19,4.0,8,8,0
114,7,3.0,9,9,0
114,17,11.0,5,5,1
114,18,0.0,10,10,0
114,16,11.0,6,6,0
114,15,8.0,7,7,0
114,4,42.0,4,4,0
114,6,71.0,2,2,3
114,3,50.0,3,3,1
114,1,73.0,1,1,2
115,19,6.0,8,8,0
115,7,4.0,9,9,0
115,17,11.0,5,5,1
115,18,0.0,10,10,0
115,16,11.0,6,6,0
115,15,8.0,7,7,0
115,4,47.0,4,4,0
115,6,85.0,1,1,4
115,3,64.0,3,3,1
115,1,76.0,2,2,2
116,19,9.0,8,8,0
116,7,4.0,9,9,0
116,17,11.0,6,6,1
116,18,0.0,10,10,0
116,16,13.0,5,5,0
116,15,9.0,7,7,0
116,4,52.0,4,4,0
116,6,95.0,1,1,4
116,3,82.0,2,2,2
116,1,76.0,3,3,2
117,19,12.0,6,6,0
